company_a_name,company_a_address,company_a_state,company_a_activity,company_b_name,company_b_address,company_b_state,company_b_activity,same_entity
SHANTI FARMS,"3, SHRI GHANSHYAM PARK CO OP- H SOC. LTD,B/H PARASKUNJ SOC., SATELLITE ROAD, JODHPUR,  ",Gujarat,Agriculture & allied,WELCOME ENVIRO ENGINEERS,"G-30, GROUND FLOOR, VARDMAN FORTUNE MALLG. T. KARNAL ROAD, NEAR GUJARAWALA TOWN  ",Delhi,Manufacturing,0
NOVO REGISTERED VALUERS,"NO. 7/2, FLAT NO. 3B-1, J.P. TOWERN.H. ROAD, (THIRUMURTHY NAGAR)  ",Tamil Nadu,Other community social and personal service activities,VPS AGRO AUTO,RAILWAY ROADKURUSHETRA   ,Haryana,Manufacturing,0
TOTAL EXPORTS,"SCO 817-818, SECTOR-22-A,CHANDIGARH   ",Chandigarh,Extraterritorial organizations and bodies,TOTAL EXPORTS PVT. LTD.,"SCO 817-818, SECTOR-22-A,CHANDIGARH   ",Chandigarh,Extraterritorial organizations and bodies,1
COMPUGAIN SOLUTIONS INDIA,"LEVEL 2A, TOWER 2.1, WAVE ROCK,TSI BUSINESS PARKS(HYD) PVT LTD, NANAKRAMGUDA  ",Telangana,Real estate renting and business activities,COMPUGAIN SOLUTIONS INDIA LIMITED,"LEVEL 2A, TOWER 2.1, WAVE ROCK,TSI BUSINESS PARKS(HYD) PVT LTD, NANAKRAMGUDA  ",Telangana,Real estate renting and business activities,1
SASHA COMMERCIO,"171/A, 171/B, 172/2, Inox TheatreA-401, 431, Akurdi,  ",Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,BAUHAUS CONSTRUCTION INTERIOR DESIGNINDIA,"90-D, EBENEZER AVENUUE,VELACHERRY ROAD,GUINDY,  ",Tamil Nadu,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
GMTA SOFTWARE SOLUTIONS,"No. 4C-432, 2nd Floor, 4th cross2nd block, HRBR Layout, Kalyan Nagar  ",Karnataka,Real estate renting and business activities,PACIFIC COMMODITIES,22/2 P K TAGORE STREET   ,West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
INNOVATIVE PEST MANAGEMENT,"319, 3RD FLOOR, LSC,SAMRAT ENCLAVE  ",Delhi,Real estate renting and business activities,GRIFFINS LIFE SCIENCES,"FLAT A/302, PLOT-233, SECTOR-10, KOPRAKHARGHAR NAVI  ",Maharashtra,Real estate renting and business activities,0
LEORIC MEDIA,HOUSE NO T F C MANGESH ARCADEODLI BICHOLIM  ,Goa,Real estate renting and business activities,ROHINI LEATHER PRODUCTS,"NO.327, MODEL COLONY YESHWANTHPUR, BANGALORE   ",Karnataka,Agriculture & allied,0
SRI KOTHANDARAMA SWAMY BENEFIT FUND,"NO.5, RAMANUJA IYENGAR STREETMADURANTHAGAM-603 306   ",Tamil Nadu,Financial intermediation,SRI KOTHANDARAMA SWAMY BENEFIT FUND PVT LTD,"NO.5, RAMANUJA IYENGAR STREETMADURANTHAGAM-603 306   ",Tamil Nadu,Financial intermediation,1
CITIMAX CIRCLE INDVISION,"E-31,ANANDPURIADARSH NAGAR  ",Rajasthan,Manufacturing,CITIMAX  CIRCLE  INDVISION,"E-31,ANANDPURIADARSH NAGAR  ",Rajasthan,Manufacturing,1
RONIT HOSPITAL,1 NO. PANNAJHIL BARRACKPORE ROADP.O.NOAPARA P.S. BARASAT  ,West Bengal,Health and social work,RONIT HOSPITAL PRIVATE LIMITED,1 NO. PANNAJHIL BARRACKPORE ROADP.O.NOAPARA P.S. BARASAT  ,West Bengal,Health and social work,1
SIVA GANGA SOLAR ENERGY,"C/o V.Vijaya Lakshmi, 1/570, 2nd road EXTbeside Neelima Theatre Lane  ",Andhra Pradesh,Electricity gas and water supply,SHUBH LABH MERCHANTS,"8, B.R.B. Basu Road (Canning Street)C/o Rajesh Sarda, 2nd Floor, Suite No.- 201  ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
SOMA BEVERAGES,"M.S.M. COMPLEX, NO.6, FIRST FLOOR,NO.2, CHINTHAMANI BAZAAR,  ",Tamil Nadu,Manufacturing,SOMA BEVERAGES PRIVATE LIMITED,"M.S.M. COMPLEX, NO.6, FIRST FLOOR,NO.2, CHINTHAMANI BAZAAR,  ",Tamil Nadu,Manufacturing,1
SAGAR NIDHI,"404/405, PRUTHVI COMPLEX,4TH FLOOR, KALANALA,  ",Gujarat,Financial intermediation,SHIVDHARA VINTRADE,"7 GANESH CHANDRA AVENUE5TH FLOOR , MEZENINE FLOOR  ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
VISIONSET MARKETING,1614/1/16/A BEHINDSHREE BAR  ,Maharashtra,Real estate renting and business activities,SRI SANKALPA HIRE PURCHASING AND FINANCE,H.NO.5-34/1/FIST FLOORDURGANAGAR  ,Telangana,Financial intermediation,0
NUDHAR GOLD,"TP7/85A&B, Sithara BuildingNear Government Hospital  ",Kerala,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,NUDHARGOLD,"TP7/85A&B, Sithara BuildingNear Government Hospital  ",Kerala,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
PENSYS SOFTWARE,"Office-536B, 5th Floor, Spaze I-Tech Park,Tower B3, Sector 49, Sohna Road,  ",Haryana,Real estate renting and business activities,PENSYS SOFTWARE PVT. LTD.,"Office-536B, 5th Floor, Spaze I-Tech Park,Tower B3, Sector 49, Sohna Road,  ",Haryana,Real estate renting and business activities,1
INTERIORS MORE,"C-402, EMRALD COURT CHS LTD; R. K. MANDIR ROAD,KONDIVITA LANE, ANDHERI KURLA ROAD, ANDHERI (EAST)  ",Maharashtra,Real estate renting and business activities,INFOSAGA E SERVICES,"C/o RAJENDRA SINGH CHAUHAN, DIRECTOR83 II FLOOR SHYAM LAL ROAD  ",Delhi,Real estate renting and business activities,0
CABAD SERVICES,"ROW HOU-2, KRISHNA HERITAGE CHS, LINKING ROAD,OPP. DON BOSCO SCHOOL, BORIVALI (WEST)  ",Maharashtra,Real estate renting and business activities,CABAD SERVICES PRIVATE LIMITED,"ROW HOU-2, KRISHNA HERITAGE CHS, LINKING ROAD,OPP. DON BOSCO SCHOOL, BORIVALI (WEST)  ",Maharashtra,Real estate renting and business activities,1
SANMED HEALTHCARE,"401, ABHIS HIRANYA, GUTTALA BEGUMPETMADHAPUR  ",Telangana,Manufacturing,MIO INFOTECH CONSULTANTS,"945/3 First Floor, Faiz RoadKarol Bagh  ",Delhi,Real estate renting and business activities,0
ABHIRAMI HOLDINGS,"NO.7.INDIRANI AMMAL STREET,MYLAPORE,CHENNAI-4   ",Tamil Nadu,Financial intermediation,STEEL CITY WELDING ACCESSORIES,"38, HILL VIEW COLONY, P.O.- MGM COLLEGEDIMNA ROAD, PS- MANGO  ",Jharkhand,Manufacturing,0
SPEEDSTER CONNECT,"501, A WING,SHREEJIVILLE,OPP.NITIN CO.,PANCHPAKADI,THANE WEST-400602  ",Maharashtra,Real estate renting and business activities,SPEEDSTER CONNECT PVT LTD,"501, A WING,SHREEJIVILLE,OPP.NITIN CO.,PANCHPAKADI,THANE WEST-400602  ",Maharashtra,Real estate renting and business activities,1
INJOY SOLUTIONS,"B-268, MIG FLATS, PKT-B,ASHOK VIHAR, PH-IV  ",Delhi,Real estate renting and business activities,INJOYSOLUTIONS,"B-268, MIG FLATS, PKT-B,ASHOK VIHAR, PH-IV  ",Delhi,Real estate renting and business activities,1
MASHROOM FEED,12 BPRERNA KUTIRBODAKDEVVASTRAPURA  ,Gujarat,Manufacturing,MASHROOM FEED PRIVATE LIMITED,12 BPRERNA KUTIRBODAKDEVVASTRAPURA  ,Gujarat,Manufacturing,1
RAJ SEAFOOD,SWAGATHAMPOST MALPE  ,Karnataka,Manufacturing,RAJ  SEAFOOD,SWAGATHAMPOST MALPE  ,Karnataka,Manufacturing,1
K3 EXPRESS TRAVELS,"H NO.  R-230, GROUND FLOOR, STREET-10,RAMESH PARK, LAXMI NAGAR  ",Delhi,Transport storage and communications,JAGMAG INVESTORS,4 HO CHI MINH SARANI   ,West Bengal,Financial intermediation,0
AB INFORMATION TECHNOLOGY SOLUTIONS,"S-2, FIRST FLOOR, AMAN MALIK APPARTMENTKHIRKI EXTN, MALVIYA NAGAR  ",Delhi,Real estate renting and business activities,AB INFORMATION TECHNOLOGY SOLUTIONS PVT. LTD.,"S-2, FIRST FLOOR, AMAN MALIK APPARTMENTKHIRKI EXTN, MALVIYA NAGAR  ",Delhi,Real estate renting and business activities,1
DATAMATE INFO SOLUTIONS,"No 41/2796 F, Fourth FloorNorth square, Paramara Road  ",Kerala,Real estate renting and business activities,RAJDHANI BENGAL FREIGHT CARRIER,"A- 7, F- 1Dilshad Garden  ",Delhi,Transport storage and communications,0
AMAP MERCANTILES OPC,"135, BIPLABI RASH BEHARI BASU AVENUE2ND FLOOR  ",West Bengal,Real estate renting and business activities,AMPLIO SOFTWARE,"L-79A, LOWER GROUND FLOORMALVIYA NAGAR  ",Delhi,Real estate renting and business activities,0
GURUDAYA ESTATES,"A-302, 36 Turner Road Building,Opp Tava Restaurant, Turner Rd, Bandra W  ",Maharashtra,Real estate renting and business activities,SHRINE TRADING COMPANY,"413/G,VASANT WADI,4 TH FLOOR,R.NO.33,KALBADEVI RDMUMBAI-2 2.7.96  ",Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
ANEKANT INFRACON,"KRISHNA APARTMENT224, A. J. C. ROAD, 8TH FLOOR, SUITE NO. 804  ",West Bengal,Real estate renting and business activities,NETSTAR BPO,Q316TH AVENUE ANNANAGAR  ,Tamil Nadu,Real estate renting and business activities,0
ANNAPURNA SOFTWARE TECHNOLOGIES,"180, FIRST ""F"" CROSS3RD STAGE, 4TH BLOCK,BASAVESHWARANAGAR,  ",Karnataka,Real estate renting and business activities,APA TECHNOLOGIES,"HOUSE NO. 465,SECTOR - 37/A  ",Chandigarh,Real estate renting and business activities,0
MAA DATIA REAL ESTATE DEVELOPERS,PRD M/S WEBON PVT LTDTHIRD FLOOR BANSAL COMPLEX 1 N  ,Uttar Pradesh,Real estate renting and business activities,MAADATIAREALESTATEDEVELOPERS,PRD M/S WEBON PVT LTDTHIRD FLOOR BANSAL COMPLEX 1 N  ,Uttar Pradesh,Real estate renting and business activities,1
SUBH LAXMI TRADERS,33 ARMENIAN STREET4TH FLOOR   ,West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,TUTOR TEEN EDUCATION,"C 708, ABHAR, OFF J P ROAD, VERSOVAANDHERI WEST  ",Maharashtra,Education,0
TRANSWORLD TECHAIDS P,"XL/2260,LISIE HOSPITAL ROAD  ",Kerala,Real estate renting and business activities,TRANSWORLD  TECHAIDS  P,"XL/2260,LISIE HOSPITAL ROAD  ",Kerala,Real estate renting and business activities,1
KRISHNAKRUPA CONSTRUCTIONS ENGINEERING WORKS,"8-128, JOGAVANIPALEMGAJUWAKA  ",Andhra Pradesh,Construction,KRISHNAKRUPA CONSTRUCTIONS ENGINEERING WORKS PRIVATE LIMITED,"8-128, JOGAVANIPALEMGAJUWAKA  ",Andhra Pradesh,Construction,1
E3 PRODUCTIONS,"P-27, Ist Floor,Malviya Nagar  ",Delhi,Other community social and personal service activities,E3PRODUCTIONS,"P-27, Ist Floor,Malviya Nagar  ",Delhi,Other community social and personal service activities,1
STRATEGY CAREER,256/A51-A  ,Chandigarh,Education,SAIKUL ENGINEERING,"MAGNUM TOWER, BUNGALOW NO.12LOKHANDWALA COMPLEXANDHERI (W),  ",Maharashtra,Manufacturing,0
KHATTER ASSOCIATES ARCHITECTS INDIA,"501, 1ST  FLOOR, SAQUIB, JUNCTION OF TURNER ROAD &24TH ROAD, T.P.S. III, BANDRA (W),  ",Maharashtra,Real estate renting and business activities,KHATTER ASSOCIATES ARCHITECTS INDIA PVT LTD,"501, 1ST  FLOOR, SAQUIB, JUNCTION OF TURNER ROAD &24TH ROAD, T.P.S. III, BANDRA (W),  ",Maharashtra,Real estate renting and business activities,1
ACHARYA RAJENDRA HEALTH SERVICES,"496VAIBHAV NAGAR, WARD NO. 05  ",Madhya Pradesh,Extraterritorial organizations and bodies,BASANT TEXTILE MILLS,5378  82 NARSINGH BAZARINDORE   ,Madhya Pradesh,Manufacturing,0
KNOTS INDIA CARPETS,"D-20, Small Industrial Estate   ",Uttar Pradesh,Manufacturing,SAMRIDH BROADCASTING SERVICES,"House No.218 Plot No.43-B,School Block,Mandawali, Fazalpur  ",Delhi,Real estate renting and business activities,0
REKORD ENGINEERING,"13/1,BONDEL ROAD   ",West Bengal,Real estate renting and business activities,HOMELIGHT MARKETING OPC,"FLAT NO: 104, BLOCK: B, MSR QUEENSTOWNUDYOG NAGAR, CHINCHWAD  ",Maharashtra,Real estate renting and business activities,0
AGGARWAL IMPLEMENTS,"1835/13, URBAN ESTATE   ",Haryana,Manufacturing,AGGARWALIMPLEMENTS,"1835/13, URBAN ESTATE   ",Haryana,Manufacturing,1
THINKINFINITY TECHNOLOGY AND CONSULTING,"NO.32/9, NAMASIVAYAM STREET,OLD WASHERMENPET,  ",Tamil Nadu,Real estate renting and business activities,LIFE TIME SECURITY SERVICES,"House no 121, Ward No - 7   ",Jammu and Kashmir,Real estate renting and business activities,0
RERO VENTURES,"TC 3/508, TKD ROADMUTTADA.P.O. , TRIVANDRUM DISTRICT  ",Kerala,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,HS PEST CONTROL,"DOOR NO 30,GANDHIMANDAPAM ROAD,BLOCK III,HOUSE B,KOTTURPURAM,  ",Tamil Nadu,Manufacturing,0
LEADENS INDIA DRESSING,"B/21,1st Floor, Twin TowerSouth Gandhi Maidan  ",Bihar,Manufacturing,LEADENS INDIA DRESSING PRIVATE LIMITED,"B/21,1st Floor, Twin TowerSouth Gandhi Maidan  ",Bihar,Manufacturing,1
CORNELL GUPTA PRINTING,"124, GOLF LINKSNEW DELHI   ",Delhi,Manufacturing,CORNELL  GUPTA  PRINTING,"124, GOLF LINKSNEW DELHI   ",Delhi,Manufacturing,1
SABRAN ENTERPRISES,"GENERAL SECRETARY, MAHILA CHETNA MANCHSEVEN HILLS SCHOOL E-6 ARERA COLONY  ",Madhya Pradesh,Real estate renting and business activities,ADISOFT TECHNOLOGIES,"FLAT NO 4B, D WING, ANIL RAJ PARKBEHIND MONICA APTS, KAMGAR NAGAR, PIMPRI  ",Maharashtra,Manufacturing,0
ALASA SOCIAL WELFARE FOUNDATION,N-79- A-F/F G NO-5NAVEEN SHAHDARA  ,Delhi,Health and social work,ALASA SOCIAL WELFARE FOUNDATION PRIVATE LIMITED,N-79- A-F/F G NO-5NAVEEN SHAHDARA  ,Delhi,Health and social work,1
AXION FOODS MACHINES,"NO. 5, SHALINI STREET, DURAISAMY NAGAR,BYE PASS ROAD,  ",Tamil Nadu,Real estate renting and business activities,TRIBHUVAN VENTURES,"H.NO-01, SRI YAMUNAE APARTMENT,ANANTPUR  ",Jharkhand,Construction,0
PROWESS HUB INDIA NIDHI,"SHOP NO-108, G/F AMBEDKAR MARKETRAGHUBIR NAGAR  ",Delhi,Financial intermediation,RUKSH INTERNATIONAL,50 A  SOFT  ROADJAJMAUKANPUR  ,Uttar Pradesh,Manufacturing,0
KAN HITASHY BUILDERS,224SKHDEV VIHAR  ,Delhi,Construction,HICI MULTITRADING OPC,"C/O AMIR HOSSEIN SHAH RAMKRISHNAPURKASHIMPUR, JAYNAGAR  ",West Bengal,Manufacturing,0
INIDERS ADVENTURES,"P-12, Shri Ram Ji Dass NagarBOH  ",Haryana,Real estate renting and business activities,HABUNG TEA INDUSTRIES,MILANNAGARP.O. C. R. BUILDING  ,Assam,Manufacturing,0
KAMENG ENERGY,"8-2-268/A/1/S & S1, PLOT NO.705, LAKSHMI NIVAS,ROAD NO.3, BANJARA HILLS,  ",Telangana,Electricity gas and water supply,GRANDLEY MULTILEVEL MARKETING,1 GRANDLEY CINEMA COMPLEXNEW FRIENDS COLONY   ,Delhi,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,0
R Y INFRA PROJECTS,"H NO:3-6-644,FLAT NO:202, SV VEDANTHA RANGA NIVAS,STREET NO:9, HIMAYAT NAGAR  ",Telangana,Construction,R Y INFRA PROJECTS PVT LTD,"H NO:3-6-644,FLAT NO:202, SV VEDANTHA RANGA NIVAS,STREET NO:9, HIMAYAT NAGAR  ",Telangana,Construction,1
FUSIONESQUE HOSPITALITY,"Office No. 1306, 13th Floor, Mayuresh Cosmos,Plot No.37, Sector-11, CBD Belapur  ",Maharashtra,Real estate renting and business activities,FUSIONESQUE HOSPITALITY LIMITED,"Office No. 1306, 13th Floor, Mayuresh Cosmos,Plot No.37, Sector-11, CBD Belapur  ",Maharashtra,Real estate renting and business activities,1
GOLDEN ENTERTAINMENT AND HOSPITALITY,"HOUSE NO 1638/3VILLA NO 8, RIDA CLASSIC  ",Goa,Hotels and restaurants,PARODA INFORMATION SYSTEMS,"NEAR ST. JOHN SCHOOL,MISSION COMPOUND,NASIRABAD,  ",Rajasthan,Real estate renting and business activities,0
JAINATH MAHAMAYA CONTRACTORS,AT & P.O. BANASO   ,Jharkhand,Construction,ASTRO MEDICARE,"150/B,ARYA KUMAR ROAD,RAJENDRA NAGAR,DIST. PATNA-16.  ",Bihar,Agriculture & allied,0
SAAI SHIVAS HOSPITALITY,"NO. 15, KANNAGI STREET,MAHATHMA GANDHI NAGAR, TARAMANI  ",Tamil Nadu,Other community social and personal service activities,SAAISHIVASHOSPITALITY,"NO. 15, KANNAGI STREET,MAHATHMA GANDHI NAGAR, TARAMANI  ",Tamil Nadu,Other community social and personal service activities,1
BLK CEMENT,"Plot No. 50, Pkt-11, FFSector-5, Rohini  ",Delhi,Manufacturing,GLOBAL UTILITY SERVICES,H-74 MURADI RDBATLA HOUSE OKHLA  ,Delhi,Transport storage and communications,0
HELIOS VINCOM,"2, RAJA WOODMUNT STREET   ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,HELIOS  VINCOM,"2, RAJA WOODMUNT STREET   ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
SHAASTA LUXURY HOTELS,"FLAT NO. 101, NOMULA AVENUE,SITAPHALMANDI,  ",Telangana,Hotels and restaurants,TOWERING MULTIFARIOUS CONSTRUCTIONS,"# 1166Patil Galli,  ",Karnataka,Construction,0
SUPUJITA ADIVSORY AND CONSULTANCY OPC,"3-6-694/402, RAJA REDDY NILAYAMHIMAYAT NAGAR  ",Telangana,Real estate renting and business activities,VEDARYA FOOD,"HOUSE NO. 947, WARD 17,MAHARAJA HATA  ",Bihar,Manufacturing,0
REALIZE PROPERTIES,LANGOLPOTA BISHNUPURRAJARHAT NORTH 24 PARGANAS  ,West Bengal,Real estate renting and business activities,KINRAJ HOMES,"HARI NIWAS, 5th FLOOR, 19 MATHEW ROAD,OPERA HOUSE, LAMINGTON ROAD,  ",Maharashtra,Real estate renting and business activities,0
RENENCORE ENERGY SOLUTIONS,"8-2-544,SRI DURGA MANSION,ROAD NO.7BANJARAHILLS  ",Telangana,Electricity gas and water supply,FORUM BPO AND MANPOWER SERVICES,A-601 RISING SUN APARTMENTSJUHU ROAD   ,Maharashtra,Real estate renting and business activities,0
FLOHE LINKWEL POWER,"Gala No 2, Ground Floor, Jivdani  IndustrialEstate No-2, Waliv,  ",Maharashtra,Real estate renting and business activities,SAPTAGIRI GRAPHICS,"6-2-966/10 KHAIRATABAD,HYDERABAD.   ",Telangana,Manufacturing,0
FOURTECH INNOVATIONS,"B1/4 SHREE MAHALAXMI COLONY,VEERA DESAI ROADANDHERI WEST,  ",Maharashtra,Manufacturing,MIKROTEK MACHINES,"# 16 'A' SECTOR AMRUTHNAGAR MAIN ROAD,SAHAKAR NAGAR POST.  ",Karnataka,Health and social work,0
SAS GK PROFESSIONAL,"301-C,SUPER MART-IIDLF PHASE-IV  ",Haryana,Agriculture & allied,SAS GK PROFESSIONAL LIMITED,"301-C,SUPER MART-IIDLF PHASE-IV  ",Haryana,Agriculture & allied,1
APPCURE LABS,"PLOT No.2,SURVEY No.93,SATYAM ENCLAVEPET-BASHEERABAD Village,QUTHBULLAPUR mandal  ",Telangana,Manufacturing,APPCURELABS,"PLOT No.2,SURVEY No.93,SATYAM ENCLAVEPET-BASHEERABAD Village,QUTHBULLAPUR mandal  ",Telangana,Manufacturing,1
GREAT BUSINESS HOLDINGS,"SUMERU ENCLAVE, NO.1/03, 5TH MAIN ROAD2ND BLOCK, JAYANAGAR  ",Karnataka,Financial intermediation,GREAT  BUSINESS  HOLDINGS,"SUMERU ENCLAVE, NO.1/03, 5TH MAIN ROAD2ND BLOCK, JAYANAGAR  ",Karnataka,Financial intermediation,1
AVIO INDIA,"A-106, KAILASH INDUSTRIAL COMPLEX, PARK SITE,VIKHROLI (WEST)  ",Maharashtra,Real estate renting and business activities,AVIO INDIA PVT. LTD.,"A-106, KAILASH INDUSTRIAL COMPLEX, PARK SITE,VIKHROLI (WEST)  ",Maharashtra,Real estate renting and business activities,1
WEST S PATENT PRESS CO,BARGAD HOUSEDODHPUR ROADALIGARH  ,Uttar Pradesh,Financial intermediation,BARDDHAMAN PHARMACEUTICALS,DEBIPUR KALITALA  P O DEBIPURR S   DIST   ,West Bengal,Manufacturing,0
SAKSHAM CINEMAS,ALANKAR THEATRE COMPLEXCANTT ROAD MURLINAGARLUCKNOW  ,Uttar Pradesh,Other community social and personal service activities,SAKSHAM CINEMAS PVT LTD,ALANKAR THEATRE COMPLEXCANTT ROAD MURLINAGARLUCKNOW  ,Uttar Pradesh,Other community social and personal service activities,1
A K CIVIL WORKS,"GALA NO.03,PLOT NO.4 & 5,GHODAPDEO,CROSS ROAD 2&3REAY ROAD (W0  ",Maharashtra,Construction,A  K  CIVIL  WORKS,"GALA NO.03,PLOT NO.4 & 5,GHODAPDEO,CROSS ROAD 2&3REAY ROAD (W0  ",Maharashtra,Construction,1
STARCONNECT ENTERTAINMENT,"Office No.1407,14th Floor,Real Tech Park Premises Co-Op Soc. 39/2, Sec.30A  ",Maharashtra,Other community social and personal service activities,STARCONNECT ENTERTAINMENT LIMITED,"Office No.1407,14th Floor,Real Tech Park Premises Co-Op Soc. 39/2, Sec.30A  ",Maharashtra,Other community social and personal service activities,1
TIME MODES,B- 165FREEDOM FIGHTER ENCLAVE  ,Delhi,Manufacturing,ECO CEMENT PANNA,"1E, 1ST FLOOR, ASHUTOSH APPARTMENT,295/2 GT ROAD  ",West Bengal,Manufacturing,0
SHREEVIRJAYO E BUSINESS SOLUTIONS,P NO 34 F NO 4 SEEMA APRTSHIVAJINAGAR PUNE  ,Maharashtra,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,ZEARS HOSPITALITY,"ZEARS BUSINESS CENTER, 4TH FLOOR, GOD GIFT TOWERHILL ROAD, BANDRA (W),  ",Maharashtra,Other community social and personal service activities,0
POOJA FARMLAND,"F-16, ARYA SQUARE, SUBHASH NAGAR,JHOTWARA ROAD  ",Rajasthan,Construction,SHIVHARI CREATION,"PLOT NO.374, GIDC ESTATEPANDESARA  ",Gujarat,Manufacturing,0
ALLIANCE FINLEASE,28/2 SHAKESPEARE SARANI   ,West Bengal,Manufacturing,ALLIANCEFINLEASE,28/2 SHAKESPEARE SARANI   ,West Bengal,Manufacturing,1
SPENTA HOMETOWN,"3 A/B, RAJABAHADUR MANSION20 AMBALAL DOSHI MARG, FORT  ",Maharashtra,Construction,TANDM TECHLABS,"301 Amrit Dhara, Sindhi Colony1-8-303/48 P G Road, Street No.1  ",Telangana,Real estate renting and business activities,0
REGAL INSULATOR,B-G 10 SARAF KASKAR INDL ESTOSHIWARA PETROL PUMPS V RD JOGESHWARI WEST  ,Maharashtra,Manufacturing,MIDPOINT SOFTTECH,"32/6, HALDER PARA LANEFLAT NO- 201, 2ND FLOOR, KASUNDIA  ",West Bengal,Real estate renting and business activities,0
ALE BREWERIES,"PLOT NO. 55OF, ARYAN'S, 2ND FLOORROAD NO. 92, JUBILEE HILLS  ",Telangana,Manufacturing,BHOLA WELCARE,"9/10, B-WING, SHEETAL APRT, BAMAN BODA RDCHAKALA, ANDHERI-(EAST)  ",Maharashtra,Other community social and personal service activities,0
SYMBOLIC FABTEX,"UNIT NO. 1,2 & 3, BUILDING NO. A-5, KRIPAINDUSTRIAL COMPLEX, VILLAGE SONALE,TALUKA BHIWANDI  ",Maharashtra,Manufacturing,CHINTAMANI DIESEL SALES AND SERVICE,"House No. 78, Runanubandh BungalowSaubhagya Nagar, Nashik Road  ",Maharashtra,Real estate renting and business activities,0
ADKING PUBLICITY,"K-848,ASHIANA COLONYKANPUR ROAD  ",Uttar Pradesh,Real estate renting and business activities,ADKING PUBLICITY PVT. LTD.,"K-848,ASHIANA COLONYKANPUR ROAD  ",Uttar Pradesh,Real estate renting and business activities,1
NAVGANESH FINANCE,"NO.38,AUDIAPPA NAICKEN STSOWCARPETMADRAS 600 079  ",Tamil Nadu,Financial intermediation,MILES2SHARE RIDE SHARING,"H-1106, ETA Gardens9, Magadi Road, K.P.Agrahara  ",Karnataka,Real estate renting and business activities,0
RUKMINI LEASING," FLAT NO 317-320, III FLOOR,MODEL HOUSE,HYDERABAD  ",Telangana,Financial intermediation,RUKMINI LEASING PVT LTD," FLAT NO 317-320, III FLOOR,MODEL HOUSE,HYDERABAD  ",Telangana,Financial intermediation,1
RADIUM MERCANTILES,"11B, NETAJI SUBHASH MARGDARYAGANJ  ",Delhi,Real estate renting and business activities,NCS HOLIDAYS AND HOTELS,"225-F, A.J.C. BOSE ROAD1ST FLOOR  ",West Bengal,Hotels and restaurants,0
CRESCO INDUSTRIES,"A1/8, SHUBHAM PARK, SECTOR 26PCNT, NIGDI  ",Maharashtra,Manufacturing,CRESCO INDUSTRIES PVT. LTD.,"A1/8, SHUBHAM PARK, SECTOR 26PCNT, NIGDI  ",Maharashtra,Manufacturing,1
VIKSAN TECHNOLOGIES,"Plot No. 224-A, 1st floor, Block AShyam Colony, Budh Vihar Extension  ",Delhi,Real estate renting and business activities,R P K REALTORS AND HOSPITALITY,"TC 9/1495 (2), AKSHYA TOWERS, 2ND FLOORSASTHAMANGALAM P.O.,  ",Kerala,Real estate renting and business activities,0
BLACK PERL JEWELL S,C-91SHASTRI NAGAR  ,Rajasthan,Manufacturing,BLACK PERL JEWELL S PVT LTD,C-91SHASTRI NAGAR  ,Rajasthan,Manufacturing,1
FABIL QUALIPACK,"Pl No 2, Jintur Industrial Co-Op Estate,Sai Ground, Parbhani Road,  ",Maharashtra,Manufacturing,SHREEHARI FOREX,BUILDING NO 2283 SHOP NO 4CHOWK GURUDWARA ROADKAROL BAGH  ,Delhi,Real estate renting and business activities,0
JESCO PROJECTS INDIA,"7, MASKATI MAHAL, 2ND FL.,119, KM SHARMA MARG, LOHAR CHAWL,  ",Maharashtra,Real estate renting and business activities,JESCO PROJECTS INDIA PVT. LTD.,"7, MASKATI MAHAL, 2ND FL.,119, KM SHARMA MARG, LOHAR CHAWL,  ",Maharashtra,Real estate renting and business activities,1
GANGIKA COMMODITIES,"4, MIDDLETON STREET,   ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,GANGIKACOMMODITIES,"4, MIDDLETON STREET,   ",West Bengal,Wholesale and retail trade repair of motor vehicles motorcycles and personal and household goods,1
